mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.014079022407531738,0.0012655458508471192,0.06613996028900146,0.0019494049693207075,2,1,uniform,0.7091836734693878,0.7295918367346939,0.7040816326530612,0.7244897959183674,0.6989795918367347,0.7091836734693878,0.7025641025641025,0.723076923076923,0.717948717948718,0.7025641025641025,0.7121664050235479,0.010244235290270047,13
0.014023327827453613,0.0011965945004006654,0.060148882865905764,0.002865053038640679,2,1,distance,0.7295918367346939,0.7244897959183674,0.7397959183673468,0.7448979591836735,0.7346938775510203,0.7346938775510203,0.7435897435897437,0.7128205128205128,0.7282051282051283,0.7333333333333333,0.732611198325484,0.00904692292000231,7
0.013588404655456543,0.0006648237627540217,0.06461739540100098,0.0022793520508541283,2,2,uniform,0.7295918367346939,0.7091836734693878,0.6632653061224489,0.6632653061224489,0.6938775510204082,0.6428571428571429,0.7282051282051283,0.6666666666666666,0.7128205128205128,0.6923076923076923,0.6902040816326531,0.0285171176321034,18
0.013746094703674317,0.0006198518728590482,0.059824132919311525,0.002352682458154757,2,2,distance,0.6683673469387755,0.6887755102040817,0.6887755102040817,0.6938775510204082,0.7244897959183674,0.6938775510204082,0.723076923076923,0.676923076923077,0.6923076923076923,0.717948717948718,0.6968419675562533,0.018094217559934653,16
0.013789868354797364,0.0006048460612666715,0.06851119995117187,0.003632082507795731,5,1,uniform,0.7704081632653061,0.7755102040816326,0.7295918367346939,0.7244897959183674,0.7397959183673468,0.7448979591836735,0.7743589743589745,0.7282051282051283,0.7487179487179487,0.7538461538461538,0.7489822082679225,0.018273300210778838,2
0.01501028537750244,0.0024946992024793353,0.05889413356781006,0.0022434197135632328,5,1,distance,0.7857142857142857,0.760204081632653,0.7397959183673468,0.7244897959183674,0.7346938775510203,0.7704081632653061,0.7794871794871795,0.7384615384615385,0.7589743589743589,0.7538461538461538,0.7546075353218209,0.019159764722878975,1
0.014239335060119629,0.0010344285025497089,0.06742064952850342,0.0018409469767882753,5,2,uniform,0.7346938775510203,0.7653061224489794,0.7142857142857143,0.7244897959183674,0.673469387755102,0.7397959183673468,0.7897435897435896,0.7333333333333333,0.7076923076923077,0.7384615384615385,0.73212715855573,0.029903037289547282,8
0.013637757301330567,0.0005035616729389551,0.05857295989990234,0.0007112603878637478,5,2,distance,0.7346938775510203,0.760204081632653,0.7397959183673468,0.7295918367346939,0.6785714285714286,0.7346938775510203,0.8102564102564103,0.7589743589743589,0.7128205128205128,0.7435897435897437,0.7403192046049188,0.0322380784668039,4
0.01371438503265381,0.0004811170556983402,0.06558053493499756,0.0016837219888150253,10,1,uniform,0.7448979591836735,0.7397959183673468,0.6938775510204082,0.7448979591836735,0.7193877551020408,0.75,0.7538461538461538,0.7282051282051283,0.7384615384615385,0.723076923076923,0.7336446886446886,0.0170758869358525,6
0.013609194755554199,0.0008063258217258606,0.060466980934143065,0.0045315215086279784,10,1,distance,0.7806122448979592,0.7295918367346939,0.7244897959183674,0.7448979591836735,0.7346938775510203,0.760204081632653,0.7538461538461538,0.7435897435897437,0.7538461538461538,0.723076923076923,0.7448848770277342,0.017037279981196352,3
